title,mediaType,eps,duration,ongoing,sznOfRelease,description,studios,tags,contentWarn,watched,watching,wantWatch,dropped,rating,votes
Noein: To Your Other Self,TV,24,,No,Fall,"When Haruka, Yuu and their friends decided to go ghost hunting, they had no idea the ""ghosts"" they'd find would turn their lives upside down. Black-clad and wielding quantum powers, these knights from the future are after an artifact of immense power that they hope will save their dimension from destruction: the Dragon Torque; and Haruka seems to be the key. As factions within the knights violently disagree on how to proceed, Haruka and the gang are caught up in a fight with the Shangri La, in an existential battle where fates of entire universes are decided.",['Satelight'],"['Mystery', 'Sci Fi', 'Original Work']",[],8396,802,6980,851,3.903,6700
The Royal Tutor Movie,Movie,1,,No,,"The biggest threat to hit the Royal Kingdom?! Under the guidance of the royal tutor Heine Wittgenstein, the four princes of the Glanzreich Kingdom, who aim to become the next king, have overcome various challenges and gradually grown up, while being confused sometimes. One day, the twin princes from the Romano Kingdom suddenly appear in front of them. Despite their cute looks, their true nature is super sadistic. To handle this unprecedented crisis, Heine and the four princes decide to teach them a lesson?!",['Tear Studio'],"['Drama', 'Shounen', 'Chibi', 'Historical', 'Royalty', 'Siblings', 'Teaching', 'Tutors', 'Based on a Manga']",[],977,46,1244,10,3.901,569
Dragon Nest: Throne of Elves,Movie,1,104,No,,"In the mythical Elven world of Altera, an epic battle unfolds between the beautiful Princess Liya and the Dark Elf Elena, who has gained possession of a jewel so powerful it allows its holder complete authority over all Alterans.",['Mili Pictures'],"['Action', 'Adventure', 'Fantasy', 'Chinese Animation', 'Elves', 'Non-Human Protagonists']",[],204,4,134,5,3.903,126
Fist of the North Star: Legend of Kenshiro,Movie,1,90,No,,,['TMS Entertainment'],"['Action', 'Shounen', 'Desert', 'Dystopia', 'Hand to Hand Combat', 'Martial Arts', 'Overpowered Main Characters', 'Post-apocalyptic', 'Based on a Manga']","['Animal Abuse', 'Explicit Violence', 'Mature Themes', 'Physical Abuse']",1202,18,778,18,3.903,672
Xi Xing Ji,Web,16,22,No,,,[],"['Adventure', 'Chinese Animation', 'CG Animation']",[],14,50,131,4,3.902,26
Oreimo,TV,12,,No,Fall,"Kyousuke Kosaka is a normal teenager with average grades and an average home life, but when he finds out that his overachieving younger sister Kirino has been hiding her vast anime and eroge collection from their unassuming parents, his world turns inside out! Now, having promised to help his formerly distant sibling navigate her two distinct lives, Kyousuke finds himself drawn into Kirino's world of magical girl anime and ""little sister"" fetish games while covering for his sibling to her parents and friends, not to mention trying to provide what guidance he can.",['AIC Build'],"['Comedy', 'Otaku Culture', 'Siblings', 'Tsundere', 'Based on a Light Novel']",[],31844,1662,7811,1346,3.902,24526
Monster Musume OVA,OVA,2,24,No,,"The OVA will adapt the manga's chapter 17 from the fourth volume, where Miia, Cerea, Mero, and Kurusu go to the gym's pool.",['Lerche'],"['Comedy', 'Ecchi', 'Fantasy', 'Harem', 'Seinen', 'Slice of Life', 'Contemporary Fantasy', 'Monster Girls', 'Monsters', 'Urban Fantasy', 'Based on a Manga']",['Nudity'],3896,331,1909,45,3.904,2429
The Demon Girl Next Door,TV,12,,No,Summer,"Yuko Yoshida is just an ordinary schoolgirl — until one day her dormant, devilish powers are unleashed by the demon Lilith! Yuko transforms into Shadow Mistress Yuko, a supernatural powerhouse with horns and a devil tail. Now she must defeat another mystical being named Momo Chiyoda, the shrine maiden of the Light Clan… who just so happens to go to Yuko’s school! But being a demonic magical girl isn’t as easy as it looks, and Yuko has a whole lot to learn before she’s ready to fulfill her destiny and take on the Clan of Light.",['J.C. Staff'],"['Comedy', 'Fantasy', 'Magical Girl', 'Seinen', 'Slice of Life', 'Contemporary Fantasy', 'Demons', 'Henshin Heroes', 'School Life', 'Urban Fantasy', 'Based on a 4-Koma Manga', 'Based on a Manga']",[],1230,340,1449,173,3.903,1089
Rokka: Braves of the Six Flowers,TV,12,,No,Summer,"Legend says, when the Evil God awakens from the deepest of darkness, the god of fate will summon Six Braves and grant them with the power to save the world. Adlet, who claims to be the strongest on the face of this earth, is chosen as one of the “Brave Six Flowers,” and sets out on a battle to prevent the resurrection of the Evil God. However, it turns out that there are Seven Braves who gathered at the promised land...",['Passione'],"['Action', 'Adventure', 'Fantasy', 'Mystery', 'Based on a Light Novel']",[],19617,2203,7219,1057,3.901,15286
Shakugan no Shana OVA,OVA,1,23,No,,"Yuuji and Shana's class is on its way to a shrine for a school field trip. During these trips classmates sometimes take the opportunity to confess to their hidden crushes, and this trip is no exception! Mataka is considering confessing to the one she dreams of, Eita, but her nerves and other obstacles stand in the way: their group leader gets nauseous on the bus and Eita seems to be ""really close"" with his best friend. Will she find the confidence to confess and wedge herself between Eita and his best friend?",['J.C. Staff'],"['Comedy', 'Romance', 'Slice of Life']",[],11628,91,3600,39,3.901,6967
Paniponi Dash! Special,DVD Special,1,31,No,,"They failed the end-of-year exams, and now Rei, Himeko, Miyako, Kurumi, Otome, Yuuna and Serizawa find themselves facing the unpalatable prospect of retests - that is, unless they can win a game of kick-the-can against the rest of the students and staff. However, this means that they must contend with genius teacher Becky Miyamoto, who is determined to stop them from claiming victory. With bizarre occurrences and heavy artillery very much the order of the day, the girls will need to be sharp, smart, and very, very lucky!","['Gansis', 'Shaft']","['Comedy', 'Ecchi', 'Shounen', 'Gag', 'Parody', 'Based on a Manga']",[],1115,17,729,19,3.901,698
Wolf Girl and Black Prince OVA,OVA,1,,No,,,['TYO Animations'],"['Shoujo', 'Based on a Manga']",[],3454,52,1865,19,3.901,2072
Yozakura Quartet: Tsuki ni Naku,OVA,3,,No,,,['Tatsunoko Production'],"['Action', 'Shounen', 'Supernatural', 'Superpowers', 'Based on a Manga']",[],742,122,808,24,3.9,544
REC,TV,9,12,No,Winter,"Fumihiko Matsumaru is a salary man who works in the marketing department of a snack company. As a bachelor, he tried to date a girl from his company; but coincidently, he met Aka Onda, a rookie voice actor, instead. Through another stroke of fate, Aka’s house burned down that very night. With nowhere to stay and no family to aid Aka, Fumihiko took her in; and the next day, Fumihiko’s new marketing idea was accepted, and Aka’s being hired for the product’s voice actor! As the relationship of Aka and Fumihiko deepens, the more difficult their relationship becomes. Can they live together under the same roof while keeping the secret of their relationship safe?",['Shaft'],"['Comedy', 'Romance', 'Seinen', 'Slice of Life', 'Short Episodes', 'Showbiz', 'Voice Acting', 'Work Life', 'Based on a Manga']",[],11447,316,4608,449,3.9,8275
