title,mediaType,eps,duration,ongoing,sznOfRelease,description,studios,tags,contentWarn,watched,watching,wantWatch,dropped,rating,votes
Fullmetal Alchemist: Brotherhood,TV,64,,No,Spring,"The foundation of alchemy is based on the law of equivalent exchange; you cannot produce something from nothing. As such, alchemy is bound by one taboo - human transmutation. Four years ago two young brothers, Edward and Alphonse Elric, broke this taboo when they tried to resurrect their dead mother. During the process Al's body disintegrated and Ed lost his leg. In a desperate attempt to prevent his brother from disappearing completely, Ed sacrificed one of his arms so he could affix Al's soul to a suit of armor. When his missing limbs are replaced by auto mail parts, Ed bears the name of the Fullmetal Alchemist - the youngest ever State Alchemist and dog of the military. Now, alongside his brother, Ed uses his status within the military to attempt to find any way that he can return their bodies back to their original state.",['Bones'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shounen', 'Conspiracy', 'Military', 'Siblings', 'Based on a Manga']","['Animal Abuse', 'Mature Themes', 'Violence', 'Domestic Abuse']",103707,14351,25810,2656,4.702,86547
your name.,Movie,1,107,No,,"Mitsuha and Taki are two total strangers living completely different lives. But when Mitsuha makes a wish to leave her mountain town and for the bustling city of Tokyo, they become connected in a bizarre way. She dreams she is a boy living in Tokyo while Taki dreams he is a girl from a rural town he’s never been to. What does their newfound connection mean? And how will it bring them together?",['CoMix Wave Films'],"['Drama', 'Romance', 'Body Swapping', 'Gender Bender', 'Opposites Attract', 'School Life', 'Supernatural', 'Original Work']",[],58831,1453,21733,124,4.663,43960
A Silent Voice,Movie,1,130,No,,"After transferring into a new school, a deaf girl, Shouko Nishimiya, is bullied by the popular Shouya Ishida. As Shouya continues to bully Shoko, the class turns its back on him. Shouko transfers and Shoya grows up as an outcast. Alone and depressed, the regretful Shouya finds Shouko to make amends. ",['Kyoto Animation'],"['Drama', 'Shounen', 'Disability', 'Melancholy', 'Mental Illness', 'School Life', 'Based on a Manga']","['Bullying', 'Mature Themes', 'Suicide']",45892,946,17148,132,4.661,33752
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,TV,10,,No,Fall,"Picking up where the second season ended, the boys prepare to finally face off for the right to represent the prefecture in the volleyball national championship. Despite being known as “The Fallen Champions,” Karasuno is determined to take down the powerhouse that is the Shiratorizawa High volleyball team. As Hinata comes closer to fulfilling his promise to defeat Ushijima’s team, will the “Flightless Crows” finally find their wings and soar above the best school in the prefecture? ",['Production I.G'],"['Shounen', 'Sports', 'Animeism', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']",[],25134,2183,8082,167,4.66,17422
Attack on Titan 3rd Season: Part II,TV,10,,No,Spring,"The battle to retake Wall Maria begins now! With Eren’s new hardening ability, the Scouts are confident they can seal the wall and take back Shiganshina District. If they succeed, Eren can finally unlock the secrets of the basement—and the world. But danger lies in wait as Reiner, Bertholdt, and the Beast Titan have plans of their own. Could this be humanity’s final battle for survival?",['Wit Studio'],"['Action', 'Fantasy', 'Horror', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Military', 'Outside World', 'Post-apocalyptic', 'Based on a Manga']","['Cannibalism', 'Explicit Violence']",21308,3217,7864,174,4.65,15789
Demon Slayer: Kimetsu no Yaiba,TV,26,,No,Spring,"Bloodthirsty demons lurk in the woods, and nobody dares to venture out at night, save for the demon slayer of legend. Surviving in this harsh world, young Tanjirou takes it upon himself to protect his family–until the day that everything is taken from him in a vicious slaughter. Now, all he has left is his sister, and she’s not even human anymore.",['ufotable'],"['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Shounen', 'Demons', 'Historical', 'Martial Arts', 'Orphans', 'Siblings', 'Based on a Manga']",['Violence'],28708,10844,13156,600,4.647,24765
Haikyuu!! Second Season,TV,25,,No,Fall,"After losing to Aoba Johsai at the Inter-High, the Karasuno High Volleyball Team is working their hardest toward the Spring Tournament. In the meantime, it's decided that they'll be heading to Tokyo for a training camp with Nekoma High and a handful of other powerful schools. They team is practicing hard, and not day during their run, Hinata and Kageyama get too excited and end up lost, and end up meeting someone rather unexpected...",['Production I.G'],"['Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']",[],31329,3861,8664,264,4.639,22819
Hunter x Hunter (2011),TV,148,,No,Fall,"Drawn to the mystique of the unknown, Hunters travel the world in search of terrifying creatures, incredible riches, and unexplored lands. Gon Freecss is a naive-yet-determined young boy who aspires to join the ranks of these individuals, in order to find his missing father Ging - a master of the profession himself. To reach his goal, he partakes in the formidable Hunter Exam, a series of tests that push the participants to their physical and mental limits, with a Hunter License as the prize. During the exam Gon befriends vengeful Kurapika, doctor-to-be Leorio, and skilled assassin Killua, who have entered for their own reasons. But with the sinister Hisoka standing in their way, will Gon and his friends be able to succeed in obtaining their reward, or even escaping with their lives?",['MADHOUSE'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Shounen', 'Monsters', 'Superpowers', 'Based on a Manga']",['Violence'],50195,17730,19219,2132,4.635,46853
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Movie,1,111,No,,"While watching a movie, Gintoki comes upon a ""movie thief,"" a figure in Japanese culture often depicted as a man with a video camera as a head. After scolding the movie thief for his actions, he finds himself warped into another world via the camera lens. In this world, 5 years have passed, and not only has the land of Edo changed into an apocalyptic wasteland, but Kagura has changed into a beautiful woman with no Chinese speech pattern, Shinpachi has turned into a cool samurai who is not a tsukkomi anymore, and the Gintoki of this time has gone missing, though he is assumed to be dead. Gintoki is determined to find out the truth of the deadly sickness that is ravaging Edo, and also to understand the feelings of Kagura and Shinpachi, who have been trying to deal with their leader's disappearance.",['Sunrise'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Feudal Japan', 'Samurai', 'Swordplay', 'Time Travel', 'Based on a Manga']",[],8454,280,6624,150,4.625,6254
Gintama (2015),TV,51,,No,Spring,Fourth season of Gintama.,['BN Pictures'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Breaking the Fourth Wall', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],7862,3154,10565,647,4.622,7654
Mob Psycho 100 II,TV,13,,No,Winter,Second Season of Mob Psycho 100.,['Bones'],"['Action', 'Comedy', 'Shounen', 'Psychic Powers', 'Psychological', 'School Life', 'Supernatural', 'Superpowers', 'Based on a Manga']",[],18421,3890,8132,218,4.621,14039
Steins;Gate,TV,24,,No,Spring,"The eccentric mad scientist Okabe, his childhood friend Mayuri, and the otaku hacker Daru have banded together to form the Future Gadget Research Laboratory, and spend their days in a ramshackle laboratory hanging out and occasionally attempting to invent incredible, yet generally useless, futuristic gadgets. However, their claymore is a hydrator and their hair dryer flips breakers, and the only invention that’s even remotely interesting is their Phone Microwave, which transforms bananas into oozing green gel. But when an experiment goes awry the gang discovers that the Phone Microwave can also send text messages to the past. And what's more, the words they send can affect the flow of time and have unforeseen, far-reaching consequences...",['WHITE FOX'],"['Sci Fi', 'Conspiracy', 'LGBT Themes', 'Psychological', 'Thriller', 'Time Travel', 'Based on a Visual Novel']","['Mature Themes', 'Suicide']",56275,6463,28541,3063,4.618,48609
Code Geass: Lelouch of the Rebellion R2,TV,25,,No,Spring,"Area 11 is still under Britannian rule and the Elevens remain brutally oppressed; what’s more, their saviour, Zero, is nowhere to be found and all of Britannia believes the rebellion is finally over. Elsewhere, having lost the battle, Lelouch sets his sights upon winning the war – but the task is no easier since the Britannian forces have learned some valuable lessons all of their own. Not only have they discovered his identity and captured many of his Black Knights, but they now manipulate the memories of all of his friends. Worst of all, they have taken the most precious thing in his life – his dear sister, Nunnally. With his hatred for the Britannians stronger than ever before, Lelouch must now recuperate his forces and bring their rule of terror to an end.",['Sunrise'],"['Mecha', 'Sci Fi', 'Conspiracy', 'Mind Games', 'Overpowered Main Characters', 'Political', 'Psychological', 'Real Robot', 'Rebellions', 'Rivalries', 'Royalty', 'Superpowers', 'Terrorism', 'Original Work']",[],83367,3327,13048,1140,4.616,64691
Kaguya-sama: Love Is War?,TV,10,,Yes,Spring,"The battle between love and pride continues! Neither Kaguya nor Shirogane has made a move, but new friends and rivals just might push them closer.",['A-1 Pictures'],"['Comedy', 'Drama', 'Romance', 'Seinen', 'Episodic', 'Love Confession', 'Mind Games', 'School Life', 'Student Council', 'Based on a Manga']",[],,6368,5747,96,4.617,2359
Haikyuu!! To the Top,TV,13,,No,Winter,"The Karasuno High School Volleyball Club finally won their way into the nationals after an intense battle for the Miyagi Prefecture Spring Tournament qualifiers. As they were preparing for the nationals, Kageyama is invited to go to All-Japan Youth Training Camp. At the same time, Tsukishima is invited to go to a special rookie select training camp for first-years in Miyagi Prefecture. Hinata feels panic that he’s being left behind as one of the first-years and then decides to show up at the Miyagi Prefecture rookie select training camp anyway... As they prepare for the nationals, Hinata, Kageyama and the rest of the Karasuno High School Volleyball team get ready to face some new challenges!!",['Production I.G'],"['Shounen', 'Sports', 'Animeism', 'School Club', 'Tournaments', 'Volleyball', 'Based on a Manga']",[],6296,4434,6131,66,4.612,5347
The Promised Neverland,TV,12,,No,Winter,"Emma, Norman, Ray, and many other ""siblings"" live at an isolated orphanage cut off from the outside world. They live a charmed life surrounded by friends and watched over by Mama, their caretaker, until they leave the house for a foster family by the age of twelve. The only rule is that they must never venture outside of the gate that isolates them from the rest of society, for dangers await. But one day, the children learn the true horror of what's in store for their short lives... ",['CloverWorks'],"['Fantasy', 'Horror', 'Mystery', 'Sci Fi', 'Shounen', 'Dark Fantasy', 'Isolated Society', 'Mind Games', 'noitaminA', 'Orphans', 'Outside World', 'Psychological', 'Thriller', 'Based on a Manga']","['Mature Themes', 'Domestic Abuse', 'Self-Harm']",23387,4711,11879,511,4.611,18489
My Hero Academia 3,TV,25,,No,Spring,"Summer is here,and the heroes of Class 1-A and 1-B are in for the toughest training camp of their lives! A group of seasoned pros pushes everyone’s Quirks to new heights as the students face one overwhelming challenge after another. Braving the elements in this secret location becomes the least of their worries when routine training turns into a critical struggle for survival.",['Bones'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Superheroes', 'Superpowers', 'Based on a Manga']",['Violence'],47250,13292,12972,390,4.607,35734
March Comes in like a Lion 2nd Season,TV,22,,No,Fall,"Rei continues to work hard at improving his shogi skills, determined to win competitions. When he learns that one of the Kawamoto sisters is facing a crisis, he wants to do everything he can to help, including finding a way to use his shogi winnings to pay them back for all they've done to save him from his pain and loneliness. Meanwhile, Rei's self-appointed rival Nikaidou faces a crisis of his own when his poor health takes a turn for the worse. ",['Shaft'],"['Drama', 'Seinen', 'Slice of Life', 'Board Games', 'Melancholy', 'Orphans', 'Psychological', 'Based on a Manga']","['Bullying', 'Emotional Abuse']",4787,760,4185,135,4.604,3899
Mushishi Zoku Shou 2nd Season,TV,10,,No,Fall,Continuation of Mushishi Zoku Shou.,['Artland'],"['Fantasy', 'Seinen', 'Episodic', 'Iyashikei', 'Supernatural', 'Based on a Manga']",[],7494,795,7501,214,4.601,5900
My Hero Academia 2,TV,25,,No,Spring,"In a world where eighty percent of the population has some kind of super-powered “quirk,” Izuku was unlucky enough to be born completely normal. But that won’t stop him from enrolling in a prestigious hero academy. Now, the promising freshman class is making its debut at the world-renowned U.A. Sports Festival! It’s Quirk versus Quirk as our young heroes face off in the ultimate showdown.",['Bones'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'School Life', 'Superheroes', 'Superpowers', 'Tournaments', 'Weak to Strong', 'Based on a Manga']","['Emotional Abuse', 'Mature Themes', 'Physical Abuse', 'Domestic Abuse']",64695,10533,12374,431,4.601,46587
Natsume's Book of Friends Season 6,TV,11,,No,Spring,Precious days with kinds friends. A beautiful yet fleeting story about people and spirits. Natsume Takashi had been able to see youkai ever since he was young and inherited his grandmother Reiko’s Book of Friends. He spends his days with his self-proclaimed bodyguard Nyanko-sensei and freeing the youkai that were bound to the book. Natsume continues to find ways to protect the precious days where he tries to find which path to follow through his connections with spirits and those involved with them and being helped out by friends who share the same feelings.,['Shuka'],"['Drama', 'Fantasy', 'Shoujo', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']",[],4845,562,5411,120,4.599,3525
Gintama',TV,51,,No,Spring,"Gintoki Sakata, Kagura, and Shinpachi Shimura continue to scrape together a living as the freelance jack-of-all-trades group Yorozuya in Edo while living among the several odd humans and aliens that inhabit the peculiar metropolis.",['Sunrise'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Breaking the Fourth Wall', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],12770,2585,11703,738,4.599,10690
Gintama.: Shirogane no Tamashii-hen 2,TV,14,,No,Summer,Continuation of Gintama.: Shirogane no Tamashii-hen.,['BN Pictures'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],2973,574,3141,80,4.599,2171
Gintama.,TV,12,,No,Winter,Fifth season of Gintama.,['BN Pictures'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],6196,1200,6798,280,4.598,4679
Gintama': Enchousen,TV,13,,No,Fall,Third season of Gintama.,['Sunrise'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Parody', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],10589,1103,8553,351,4.596,8031
One-Punch Man,TV,12,,No,Fall,"In a city plagued with thugs, mutants, and supervillains, Saitama decides to become a superhero for fun. He envisions an exciting life where he is constantly challenged with tough opponents, but after three years of intense training, he's become so strong that he defeats every enemy with one punch! His dream of engaging challenging foes has gone up in smoke, and his overpowered life is filled with overpowering boredom. Then a cyborg named Genos learns about Saitama's amazing ability and begs him to make him his disciple. Saitama isn't interested in taking on an apprentice, but Genos isn't giving up. Can he convince the disillusioned hero to teach him the secret of his strength? And will Saitama ever find a worthy adversary to battle?",['MADHOUSE'],"['Action', 'Comedy', 'Sci Fi', 'Seinen', 'Cyborgs', 'Monsters', 'Overpowered Main Characters', 'Parody', 'Satire', 'Superheroes', 'Superpowers', 'Based on a Manga']",['Explicit Violence'],85357,7342,12683,1520,4.593,65392
Clannad After Story,TV,24,,No,Fall,"Summer break is now over; the second semester has started for Tomoya, Nagisa and the others, and little has changed. Since Tomoya's relationship with his father is still troubled, he continues to live with Nagisa and her family, even if it means getting roped into organizing a baseball team for the family bakery. Life at school continues as normal with Sunohara as carefree as ever; however, when his sister Mei voices her concerns about him, the series of events that follow place a strain on Sunohara and Tomoya’s friendship. Whether it's saving a person from themselves or passing on a message from the past, one thing’s for sure: no matter how tough things get, good friends will always be there to help out.",['Kyoto Animation'],"['Drama', 'Romance', 'Adult Couples', 'Coming of Age', 'Family Life', 'Illness', 'Based on a Visual Novel']",[],53568,2524,16703,1260,4.59,41715
Vinland Saga,TV,24,,No,Summer,"Around the end of the millennium, Viking, the mightiest but atrocious tribe, had been outbreaking everywhere. Thorfinn, the son of the greatest warrior, lived his childhood in the battlefield. He was seeking the land of reverie called Vinland. This is the story of a true warrior in an age of turmoil.",['Wit Studio'],"['Action', 'Seinen', 'England', 'Europe', 'Historical', 'Medieval', 'Revenge', 'Swordplay', 'War', 'Weak to Strong', 'Based on a Manga']",['Violence'],7707,3834,6870,347,4.586,7463
Mushishi Zoku Shou,TV,10,,No,Spring,"They existed long before anyone can remember. They are simple and strange in nature, not resembling any other plant or animal in this world. In ancient times, people revered these bizarre creatures and called them “Mushi.” People once again began to believe in the existence of these “Mushi” when they began affecting their lives in inexplicable ways. The one who connects the world of “Mushi” to the world of humans—they were called the “Mushi-shi.” All life exists not to hinder others in this world. They are simply there to live as they were meant to.",['Artland'],"['Fantasy', 'Seinen', 'Episodic', 'Iyashikei', 'Supernatural', 'Based on a Manga']",[],8421,874,8065,274,4.584,6771
Gintama.: Shirogane no Tamashii-hen,TV,12,,No,Winter,Final arc of Gintama.,['BN Pictures'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],3627,507,3271,75,4.582,2648
Wolf Children,Movie,1,117,No,,"Hana was a student before she was a mother. She was bright and pretty, and her future held endless possibilities. Then she met a man, who turned out to be a wolf, and together they built a family. Hana loved her mate fiercely, but fate took him from her, leaving her alone with two unusual kids she didn’t know how to raise. Frightened of being discovered, Hana and her wolf children fled to the countryside to build a new life. Raising her little wild things was an adventure. It left Hana bruised, scratched, exhausted, and joyously overwhelmed as her pups grew stronger and wandered further every day. This is a mother’s journey. Teach your children to chase their dreams – and smile through the tears as they disappear into the world in search of who they will become. Hana wasn’t always a mother, but it was always what she was meant to be.",['Studio Chizu'],"['Fantasy', 'Slice of Life', 'Animal Characteristics', 'Animal Transformation', 'Childcare', 'Coming of Age', 'Contemporary Fantasy', 'Countryside', 'Family Life', 'Lifestyle Change', 'Single Parent', 'Werewolves', 'Original Work']",[],35896,538,15651,130,4.578,26465
Rascal Does Not Dream of a Dreaming Girl,Movie,1,90,No,,"In Fujisawa, where the skies are bright and the seas glisten, Sakuta Azusagawa is in his second year of high school. His blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted with the appearance of his first crush, Shoko Makinohara. For reasons unknown, he encounters two Shoko-s: one in middle school and another who has become an adult. As Sakuta finds himself helplessly living with the Shoko-s, the adult Shoko leads him around by the nose, causing a huge rift in his relationship with Mai. In the midst of all of this, he discovers that the middle school Shoko is suffering from a grave illness and his scar begins to throb...",['CloverWorks'],"['Drama', 'Romance', 'Illness', 'Senpai-Kouhai Relationship', 'Supernatural', 'Time Travel', 'Based on a Light Novel']",[],3963,229,5151,44,4.573,2784
Natsume's Book of Friends Season 4,TV,13,,No,Winter,"Takashi Natsume continues to return the names of the spirits that have been written in the ""Book of Friends"" he inherited from his grandmother, Reiko Natsume. While Natsume is still aided by the chubby Nyanko-sensei, he's now helped by some of the friends he had made in his journey; be it human beings or spirits. As he becomes closer to both, Natsume faces the inevitable question of the sides he has to take especially when there is a conflict between the two.",[],"['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']",[],10751,655,6964,195,4.569,8025
Made in Abyss,TV,13,,No,Summer,"Young Riko has spent her entire childhood dreaming of exploring the Abyss, an enormous pit and series of caves filled with wonders and terrors that only the staunchest Cave Raiders have survived to bring back ancient artifacts from its depths. No one knows just how deep the pit is, but Riko's own mother disappeared into it years ago, leaving her daughter behind with a powerful urge to follow after her and learn the Abyss's mysteries for herself. One day Riko discovers a boy who seems to have originated from the Abyss and appears to be a sort of robot. Can he aid the little girl in her quest to find her missing mother? Or will the children become the Abyss's next victims?",['Kinema Citrus'],"['Adventure', 'Fantasy', 'Mystery', 'Sci Fi', 'Seinen', 'Androids', 'Curse', 'Dark Fantasy', 'Melancholy', 'Non-Human Protagonists', 'Orphans', 'Outside World', 'Psychological', 'Robots', 'Based on a Manga']",['Explicit Violence'],18351,2067,11108,622,4.566,15078
Hajime no Ippo: New Challenger,TV,26,,No,Winter,"Ippo continues his career as a professional boxer, trying to live up to his role as the Japanese champion. Now that a new generation looks up to him as both a role model and a target - even though he's still a little green behind the ears himself - Ippo must develop his skills both inside and outside the ring. Can the kind Ippo ruthlessly crush his challengers and be a man his younger peers can look up to? And ultimately, can he take his skills to the level where he can follow in Date Eiji's footsteps and aim for the international title? Pro boxing is a difficult sport; Ippo and his friends - even the mighty Kimura, must survive in a competetive world where all others must fall in order for one to rise to the top...",['MADHOUSE'],"['Action', 'Drama', 'Shounen', 'Sports', 'Boxing', 'Hand to Hand Combat', 'Tournaments', 'Based on a Manga']",[],14016,865,3858,220,4.565,10236
Haikyuu!!,TV,25,,No,Spring,"Shoyo Hinata isn't a large guy, but he's got huge ambitions. Ever since seeing a small player score in a National Championship, he's been determined to become the next big thing in High School Volleyball. Unfortunately, the one time he was able to pull enough players together to form a team in junior high, they were completely trashed in their first and only match against a team led by up-and-coming setter Tobio Kageyama.Now, enrolled at the same high school where his idol once played, Shoyo's finally going to get his shot to join and play with a top team. There's just one problem: Tobio Kageyama's decided to attend the same school, and he's already considered one of the best players in the game. Can a kid out of nowhere hold his own against the King of the Court? Or could the rivalry and competition actually be the best thing for both of them?",['Production I.G'],"['Shounen', 'Sports', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']",[],39929,6332,11572,952,4.565,30062
Natsume's Book of Friends Season 5,TV,11,,No,Fall,"Takashi Natsume is a boy who's been able to see youkai ever since he was a child. Ever since he inherited the ""Book of Friends"" from his grandmother Reiko, he and his self-proclaimed bodyguard Nyanko-sensei have spent their days returning names to the youkai who are bound by the book. As he meets the different youkai and people, he finds himself with many more things that he cares about. He wonders whether it's right to keep secrets to protect someone as little by little he works up the courage to build even more friendships.",['Shuka'],"['Drama', 'Shoujo', 'Slice of Life', 'Bodyguards', 'Cats', 'Countryside', 'Episodic', 'Iyashikei', 'Japanese Mythology', 'Orphans', 'Supernatural', 'Youkai', 'Based on a Manga']",[],5589,661,5097,124,4.561,4113
Code Geass: Lelouch of the Rebellion,TV,25,,No,Fall,"In 2010, the Britannian Empire enslaved Japan using powerful mecha known as Knightmares; in the aftermath Japan was renamed Area 11, and its people began a hard and terrible existence. Lelouch, a Britannian student living in Area 11, has grown up hating the Empire and everything it stands for. One day, in the middle of a terrorist attack, Lelouch meets a mysterious girl who grants him the ability to control minds. Can he use his new power to fight for freedom, or will his hatred twist his good intentions into mindless acts of vengeance?",['Sunrise'],"['Mecha', 'Sci Fi', 'Conspiracy', 'Mind Games', 'Overpowered Main Characters', 'Political', 'Psychological', 'Real Robot', 'Rebellions', 'Revenge', 'Rivalries', 'Royalty', 'Superpowers', 'Terrorism', 'Original Work']","['Nudity', 'Violence']",98899,5442,17676,3221,4.555,78071
Descending Stories: Shouwa Genroku Rakugo Shinjuu,TV,12,,No,Winter,"After a decade of hard work, Yotaro has finally obtained the rank of Shinuchi and taken a new stage name. His rakugo still needs more refining, however, and he's still struggling to find a style that is all his own as he tries to save the art form from dying out. He has also dedicated himself to taking care of his aging master Yakumo and helping Konatsu raise her new baby. She refuses to reveal the identity of her child's father, but Yotaro has his suspicions. How many more secrets can these people possibly have? And can they preserve the rakugo they all love for future generations?",['Studio Deen'],"['Drama', 'Josei', 'Adult Couples', 'Animeism', 'Apprenticeship', 'Historical', 'Rakugo', 'Based on a Manga']",[],2642,493,3561,184,4.553,2291
Kizumonogatari Movie 3: Reiketsu,Movie,1,83,No,,Part 3 of the Kizumonogatari triology.,['Shaft'],"['Action', 'Drama', 'Ecchi', 'Psychological', 'Supernatural', 'Vampires', 'Based on a Light Novel']","['Explicit Violence', 'Nudity']",6569,240,5642,45,4.553,4720
JoJo's Bizarre Adventure: Golden Wind,TV,39,,No,Fall,"Giorno Giovanna is a young man that lives in Naples and is the son of DIO, the nemesis of the Joestar family. When he was younger, he was oppressed and started acting out, but one day, he saved a gang member and then learned how to trust people. Bizarrely, he never forgot that and learned how to be respectful with  his own gang that straightened him out. That’s also how he started aspiring to become a Gang-Star. Now fifteen, Giorno gets in trouble with the gang Passione, which controls the Italian mafia underworld, and now, he’s being targeted.",['David Production'],"['Action', 'Adventure', 'Shounen', 'Europe', 'Italy', 'Supernatural', 'Based on a Manga']","['Animal Abuse', 'Mature Themes']",7802,4318,5563,265,4.552,7023
Monogatari Series: Second Season,TV,26,,No,Summer,"The bee apparition is now gone, and summer vacation where the phoenix apparition averted harm is over-- Around Koyomi Araragi and the girls who started a new trimester, apparitions, or perhaps threats even worse, were creeping in ever closer. Tsubasa Hanekawa, Mayoi Hachikuji, Suruga Kanbaru, Nadeko Sengoku, Shinobu Oshino, and Hitagi Senjyogahara. Their soliloquies, confessions – and farewells.",['Shaft'],"['Comedy', 'Drama', 'Supernatural', 'Based on a Light Novel']",['Violence'],14070,1795,6747,274,4.551,11281
Douluo Dalu 2,Web,82,22,Yes,,Second season of Douluo Dalu.,[],"['Action', 'Fantasy', 'Chinese Animation', 'Cultivation', 'Xianxia', 'Based on a Novel', 'CG Animation']",[],,1167,990,32,4.54,549
Gintama: Porori-hen,TV,13,,No,Fall,Sixth season of Gintama.,['BN Pictures'],"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Aliens', 'Crude', 'Feudal Japan', 'Gag', 'Samurai', 'Slapstick', 'Swordplay', 'Based on a Manga']",[],3583,442,2737,70,4.547,2628
My Hero Academia 4,TV,25,,No,Fall,"The villain world teeters on the brink of war now that All For One is out of the picture. Shigaraki of the League of Villains squares off with Overhaul of the yakuza, vying for total control of the shadows. Meanwhile, Deku gets tangled in another dangerous internship as he struggles to keep pace with his upperclassman—Mirio.",['Bones'],"['Action', 'Sci Fi', 'Shounen', 'Superheroes', 'Superpowers', 'Based on a Manga']",['Violence'],13759,15718,13617,280,4.547,14313
Owarimonogatari (2017),TV Special,3,44,No,,Second season of Owarimonogatari.,['Shaft'],"['Drama', 'Mystery', 'Supernatural', 'Based on a Light Novel']",[],4318,233,4045,70,4.545,3082
Weathering With You,Movie,1,111,No,,"The summer of his high school freshman year, Hokoda runs away from his remote island home to Tokyo, and quickly finds himself pushed to his financial and personal limits. The weather is unusually gloomy and rainy every day, as if to suggest his future. He lives his days in isolation, but finally finds work as a writer for a mysterious occult magazine. Then one day, Hokoda meets Hina on a busy street corner. This bright and strong­willed girl possesses a strange and wonderful ability: the power to stop the rain and clear the sky...",['CoMix Wave Films'],"['Drama', 'Lifestyle Change', 'Supernatural', 'Writers', 'Original Work']",[],4539,435,9954,22,4.542,3194
Luo Xiao Hei Zhan Ji Movie,Movie,1,105,No,,,[],"['Action', 'Adventure', 'Fantasy', 'Animal Characteristics', 'Animal Transformation', 'Cats', 'Chinese Animation', 'Family Friendly', 'Non-Human Protagonists', 'Urban Fantasy']",[],130,7,288,4,4.51,91
KonoSuba – God’s blessing on this wonderful world! Movie: Legend of Crimson,Movie,1,86,No,,"A video game-loving shut-in, Kazuma's life should've ended when he was hit by a truck, but through a twist of fate, he ends up reincarnating in another world--and dragging the troublemaking goddess, Aqua, the wildly dorky mage, Megumin, and the unrelentingly delusional lady knight, Darkness, with him. Now, the Crimson Demon village that Megumin and Yunyun are from is facing a threat that could mean it's ending. Kazuma and his gang follow Yunyun, who returns to the Crimson Demon village intent on saving it... when they are faced with their greatest threat yet! What will become of the unremarkable adventurer Kazuma's life in another world?!",['J.C. Staff'],"['Comedy', 'Ecchi', 'Fantasy', 'Isekai', 'NEET', 'Person in a Strange World', 'RPG', 'Based on a Light Novel']",[],6216,273,6323,66,4.542,4114
Mushishi Zoku Shou: Suzu no Shizuku,Movie,1,47,No,,"The anime adaptation of the final Mushishi manga arc. Ginko stumbles upon a young girl in a mountain with branches and leaves growing out of her body. He later realises that she is the lord of that mountain but finds it strange that a human like her was chosen as the lord. He later meets her older brother who has continued to search for her ever since she disappeared while she was accompanying him on a stormy day. The story is about that girl, Kaya, and how she is torn between continuing her duty as a mushi lord and returning back to her loving human family.",['Artland'],"['Fantasy', 'Seinen', 'Countryside', 'Forest', 'Iyashikei', 'Supernatural', 'Based on a Manga']",[],3502,97,4666,41,4.541,2481
